Regiao,Estado,Municipio,Nome da Rua,Numero Rua,Bairro,Cep,Produto,Valor de Venda,Bandeira
S,RS,GUAIBA,AVENIDA NESTOR DE MOURA JARDIM,540,CORONEL NASSUCA,92701230,GASOLINA ADITIVADA,5.79,IPIRANGA
S,RS,GUAIBA,AVENIDA NESTOR DE MOURA JARDIM,540,CORONEL NASSUCA,92701230,DIESEL,5.89,IPIRANGA
S,RS,GUAIBA,AVENIDA NESTOR DE MOURA JARDIM,540,CORONEL NASSUCA,92701230,DIESEL S10,5.99,IPIRANGA
NE,AL,MACEIO,AVENIDA JUCA SAMPAIO,92,JACINTINHO,57040600,GASOLINA,5.39,RAIZEN
NE,AL,MACEIO,AVENIDA JUCA SAMPAIO,92,JACINTINHO,57040600,GASOLINA ADITIVADA,5.99,RAIZEN
NE,AL,MACEIO,AVENIDA JUCA SAMPAIO,92,JACINTINHO,57040600,DIESEL S10,5.59,RAIZEN
NE,AL,MACEIO,AVENIDA JUCA SAMPAIO,92,JACINTINHO,57040600,ETANOL,3.99,RAIZEN
NE,RN,CAICO,RUA JOAQUIM GREGORIO,662,PENEDO,59300000,GASOLINA,5.99,BRANCA
NE,RN,CAICO,RUA JOAQUIM GREGORIO,662,PENEDO,59300000,GASOLINA ADITIVADA,5.99,BRANCA
NE,RN,CAICO,RUA JOAQUIM GREGORIO,662,PENEDO,59300000,DIESEL S10,6.69,BRANCA
NE,RN,CAICO,RUA JOAQUIM GREGORIO,662,PENEDO,59300000,ETANOL,5.59,BRANCA
SE,MG,TIMOTEO,AVENIDA PINHEIRO,251,LIMOEIRO,35181402,GASOLINA,5.24,ALESAT
SE,MG,TIMOTEO,AVENIDA PINHEIRO,251,LIMOEIRO,35181402,DIESEL,5.59,ALESAT
SE,MG,TIMOTEO,AVENIDA PINHEIRO,251,LIMOEIRO,35181402,DIESEL S10,5.63,ALESAT
SE,MG,TIMOTEO,AVENIDA PINHEIRO,251,LIMOEIRO,35181402,ETANOL,3.38,ALESAT
N,TO,GURUPI,TRAVESSA 01,108,LOTEAMENTO NOSSA SENHORA D' ABADIA 2 ETAPA,77402970,GASOLINA,5.99,BRANCA
N,TO,GURUPI,TRAVESSA 01,108,LOTEAMENTO NOSSA SENHORA D' ABADIA 2 ETAPA,77402970,DIESEL,5.84,BRANCA
N,TO,GURUPI,TRAVESSA 01,108,LOTEAMENTO NOSSA SENHORA D' ABADIA 2 ETAPA,77402970,DIESEL S10,5.94,BRANCA
N,TO,GURUPI,TRAVESSA 01,108,LOTEAMENTO NOSSA SENHORA D' ABADIA 2 ETAPA,77402970,ETANOL,3.99,BRANCA
NE,MA,PINHEIRO,AVENIDA PAULO RAMOS,202,CENTRO,65200000,GASOLINA,5.79,BRANCA
NE,MA,PINHEIRO,AVENIDA PAULO RAMOS,202,CENTRO,65200000,GASOLINA ADITIVADA,5.79,BRANCA
