Regiao,Estado,Municipio,Nome da Rua,Numero Rua,Bairro,Cep,Produto,Valor de Venda,Bandeira
SE,ES,GUARAPARI,RUA DAVINO MATOS,SN,PARQUE AREIA PRETA,29200615,DIESEL S10,5.97,ALESAT
SE,ES,GUARAPARI,RUA DAVINO MATOS,SN,PARQUE AREIA PRETA,29200615,ETANOL,3.99,ALESAT
SE,ES,LINHARES,AVENIDA SAMUEL BATISTA CRUZ,2312,SHELL,29900010,GASOLINA,6.19,VIBRA
SE,ES,LINHARES,AVENIDA SAMUEL BATISTA CRUZ,2312,SHELL,29900010,GASOLINA ADITIVADA,6.29,VIBRA
SE,ES,LINHARES,AVENIDA PREFEITO SAMUEL BATISTA CRUZ,1276,ARACA,29900100,GASOLINA,6.19,VIBRA
SE,ES,LINHARES,AVENIDA PREFEITO SAMUEL BATISTA CRUZ,1276,ARACA,29900100,GASOLINA ADITIVADA,6.29,VIBRA
SE,ES,LINHARES,AVENIDA PREFEITO SAMUEL BATISTA CRUZ,1276,ARACA,29900100,DIESEL,5.69,VIBRA
SE,ES,LINHARES,AVENIDA PREFEITO SAMUEL BATISTA CRUZ,3764,NOVO HORIZONTE,29902101,GASOLINA,6.19,RAIZEN
SE,ES,LINHARES,AVENIDA PREFEITO SAMUEL BATISTA CRUZ,3764,NOVO HORIZONTE,29902101,GASOLINA ADITIVADA,6.45,RAIZEN
SE,ES,LINHARES,AVENIDA PREFEITO SAMUEL BATISTA CRUZ,3764,NOVO HORIZONTE,29902101,DIESEL S10,5.99,RAIZEN
SE,ES,LINHARES,AVENIDA SAMUEL BATISTA CRUZ,2319,COLINA,29901401,GNV,4.99,VIBRA
SE,ES,LINHARES,AVENIDA SAMUEL BATISTA CRUZ,2319,COLINA,29901401,GASOLINA,6.19,VIBRA
SE,ES,LINHARES,AVENIDA SAMUEL BATISTA CRUZ,2319,COLINA,29901401,GASOLINA ADITIVADA,6.29,VIBRA
